日期,名稱,開盤價,高點,低點,收盤價,成交量
1999/04/16,A,29.6,29.8,28.5,29.4,152051
1999/04/16,B,119.5,122,117.5,122,76543
1999/04/16,C,64,64.5,62.5,63.5,31206
1999/04/17,A,29.4,29.7,28.4,29.7,57165
1999/04/17,B,122,123,119,122,33707
1999/04/17,C,63.5,64,63,64,18398
1999/04/19,A,29.7,30,28.8,28.8,57802
1999/04/19,B,123,126,120.5,121,36419
1999/04/19,C,64.5,65.5,64,64.5,36756
1999/04/20,A,28.8,30,28.5,29.6,87370
1999/04/20,B,121,124,120.5,122.5,25837
1999/04/20,C,64,64.5,63,63.5,16808
1999/04/21,A,29.9,30,28,28.5,73083
1999/04/21,B,124,127,123,123.5,50896
1999/04/21,C,63.5,64,61.5,61.5,21759
1999/04/22,A,29,29.5,28.7,28.9,59357
1999/04/22,B,126,128,125,127.5,42493
1999/04/22,C,62,62.5,61.5,61.5,13943
1999/04/23,A,28.9,29.4,28.5,28.9,38921
1999/04/23,B,128.5,128.5,126,126.5,27005
1999/04/23,C,62.5,63,62,62.5,11714
1999/04/26,A,28.9,28.9,28.1,28.2,21552
1999/04/26,B,127,127,124.5,124.5,14331
1999/04/26,C,62.5,62.5,61.5,62,10023
1999/04/27,A,28,28.8,27.8,28.5,35202
1999/04/27,B,124,124,121,121,18267
1999/04/27,C,62,62.5,61.5,62,10021
1999/04/28,A,28.7,29,28.3,28.4,29104
1999/04/28,B,121,122.5,120,120.5,12627
1999/04/28,C,62,62.5,61,61,8713
1999/04/29,A,28.4,28.7,27.8,27.8,20479
1999/04/29,B,120,120,116,117,16619
1999/04/29,C,60.5,61,59.5,60,16841
1999/04/30,A,27.9,28.8,27.5,28.6,31863
1999/04/30,B,116,118,115.5,117,10512
1999/04/30,C,59.5,61,59,60,12981
1999/05/03,A,29,29.5,28.8,28.9,37713
1999/05/03,B,118,119,117,118.5,7715
1999/05/03,C,60,61,60,60.5,8498
1999/05/04,A,29.3,30.8,29.1,30.8,94263
1999/05/04,B,119.5,122,119.5,122,14436
1999/05/04,C,61,64.5,61,64.5,45406
1999/05/05,A,30.7,30.9,30,30.2,55796
1999/05/05,B,122,122,120,120,8918
1999/05/05,C,64.5,66,64,65,55973
1999/05/06,A,30.5,30.6,29.5,29.6,41068
1999/05/06,B,121,121,118.5,119,9645
1999/05/06,C,65.5,66,64,64.5,29557
1999/05/07,A,29.6,30.3,29.2,29.3,29962
1999/05/07,B,119,120,118,118,6586
1999/05/07,C,64.5,65,63,63,22298
1999/05/10,A,29.3,29.5,28.8,29.4,17685
1999/05/10,B,117.5,121.5,117,121.5,5492
1999/05/10,C,63,65,62.5,65,18100
1999/05/11,A,29.9,30.5,29.3,29.3,47320
1999/05/11,B,121.5,123,119,119.5,12730
1999/05/11,C,65.5,67.5,65,65,62139
1999/05/12,A,29.7,29.9,29.4,29.9,28108
1999/05/12,B,120,120,118,118,6840
1999/05/12,C,66,66,64.5,65,31554
1999/05/13,A,30,30.4,29.7,29.8,38135
1999/05/13,B,118,120,117.5,118,6436
1999/05/13,C,65,66,64.5,65,25379
1999/05/14,A,30.4,31.7,30.4,31.4,94343
1999/05/14,B,119,122,119,122,12318
1999/05/14,C,65,67,65,67,45186
1999/05/15,A,31,31.3,30.6,30.8,39238
1999/05/15,B,121,122,120.5,121,8461
1999/05/15,C,66,66.5,65.5,65.5,17101
1999/05/17,A,31,31.9,30.9,31.1,67695
1999/05/17,B,123,125,121.5,121.5,17524
1999/05/17,C,66,66.5,65.5,65.5,22029
1999/05/18,A,31.9,32.2,31.2,32.2,80852
1999/05/18,B,122,122.5,119.5,120,8882
1999/05/18,C,65.5,66,64.5,65.5,17442
1999/05/19,A,32.8,33,32.2,32.5,66126
1999/05/19,B,120.5,122,119.5,120.5,9769
1999/05/19,C,65.5,68.5,65.5,68,76898
1999/05/20,A,33,33,31.7,31.7,38652
1999/05/20,B,122,122,119.5,119.5,6741
1999/05/20,C,68.5,69,66,66.5,35723
1999/05/21,A,32.2,32.4,31.7,32.2,28531
1999/05/21,B,120,120.5,119,119,5666
1999/05/21,C,66.5,67,65.5,66,17952
1999/05/24,A,32.6,33.2,32.3,32.8,43805
1999/05/24,B,119,119.5,117.5,118,7852
1999/05/24,C,66,66.5,65,65,16889
1999/05/25,A,32.5,32.5,31.1,31.1,38913
1999/05/25,B,117,118,115,115,10984
1999/05/25,C,65,66,64.5,65,26876
1999/05/26,A,31,32,30.8,32,30710
1999/05/26,B,114,116.5,114,115,6739
1999/05/26,C,64.5,66,64.5,65,17532
1999/05/27,A,32.2,32.2,31.5,31.5,19766
1999/05/27,B,115.5,116,114,114,7763
1999/05/27,C,65.5,65.5,64.5,64.5,17444
1999/05/28,A,31.2,31.3,30.8,30.9,21510
1999/05/28,B,113.5,114,112,112,8751
1999/05/28,C,64.5,64.5,63.5,63.5,16127
1999/05/29,A,31.7,32.1,31,31.3,31228
1999/05/29,B,114,114,113,113,5101
1999/05/29,C,64,65,63.5,63.5,14439
1999/05/31,A,31.5,31.5,30.8,31.2,16215
1999/05/31,B,113,113.5,110,110.5,6920
1999/05/31,C,64,64,62.5,63,15021
1999/06/01,A,31.5,31.7,31.4,31.7,13464
1999/06/01,B,110,112,110,112,3784
1999/06/01,C,63,63.5,62.5,63,7156
1999/06/02,A,31.9,32.5,31.8,31.9,43802
1999/06/02,B,112.5,113,111.5,111.5,7681
1999/06/02,C,63.5,64.5,63.5,64,9796
1999/06/03,A,32.1,33,31.5,32.3,60481
1999/06/03,B,111.5,114,110.5,113.5,10246
1999/06/03,C,64.5,66,64.5,65,24508
1999/06/04,A,32.7,32.7,32,32,26447
1999/06/04,B,113.5,114,111,111.5,6187
1999/06/04,C,65.5,66,64,64,13466
1999/06/05,A,32.5,33.3,32.2,32.5,47972
1999/06/05,B,112,113,111.5,112,4975
1999/06/05,C,64,65.5,64,64.5,14020
1999/06/07,A,32.8,34.5,32.8,34.5,91077
1999/06/07,B,112.5,115,112,115,9481
1999/06/07,C,65,66.5,64.5,66.5,33933
1999/06/08,A,35.2,35.2,34.1,34.5,70605
1999/06/08,B,116,116.5,112.5,113,8494
1999/06/08,C,67,67.5,65.5,65.5,25007
1999/06/09,A,34.9,36.1,34.9,36,88023
1999/06/09,B,113,114.5,112,112.5,7149
1999/06/09,C,66,66.5,65.5,65.5,26023
1999/06/10,A,36.3,38.1,36.3,37.6,112078
1999/06/10,B,113,116,113,115,14699
1999/06/10,C,66.5,68.5,66.5,67,70180
1999/06/11,A,38,38.5,37.2,37.7,79908
1999/06/11,B,116,119,115,119,21063
1999/06/11,C,67.5,68,67,68,33419
1999/06/14,A,38,38,37.2,37.2,32145
1999/06/14,B,119,119,116,116.5,8112
1999/06/14,C,68.5,68.5,67,67,20407
1999/06/15,A,37.8,38.3,37.3,37.8,56319
1999/06/15,B,116,117,114,114.5,7440
1999/06/15,C,67.5,69,67,67.5,43933
1999/06/16,A,38,38.9,37.3,38.9,42384
1999/06/16,B,114.5,115,112.5,113.5,12436
1999/06/16,C,67.5,70,67,70,56723
1999/06/17,A,39.4,40.7,38.5,40.4,91003
1999/06/17,B,115,116.5,113.5,116,16691
1999/06/17,C,72,74.5,71.5,74.5,152166
1999/06/21,A,40.4,40.8,39.5,39.8,66852
1999/06/21,B,117,120.5,116.5,120,34671
1999/06/21,C,76,79.5,75.5,79.5,140156
1999/06/22,A,40.2,41.3,39.8,41,59452
1999/06/22,B,121.5,122,118.5,120.5,20755
1999/06/22,C,81,81.5,78,80,101047
1999/06/23,A,42,43,41,41,83370
1999/06/23,B,122,124,119,119,27308
1999/06/23,C,80,83,78.5,78.5,78191
1999/06/24,A,39.1,41.3,39.1,39.1,58280
1999/06/24,B,117,117.5,114,114.5,12669
1999/06/24,C,78,79.5,75.5,76,77171
1999/06/25,A,39.1,41.3,39.1,39.1,58240
1999/06/25,B,117,117.5,114,114.5,12618
1999/06/25,C,78,79.5,75.5,76,77008
1999/06/28,A,39.1,39.6,38.5,38.9,29992
1999/06/28,B,116,116.5,115,116,8345
1999/06/28,C,76.5,78,76,78,39482
1999/06/29,A,39.8,40.5,39.5,40.1,42077
1999/06/29,B,116.5,118,116.5,117.5,8891
1999/06/29,C,80,81.5,79.5,81.5,65611
1999/06/30,A,40.2,40.2,38.8,38.8,34357
1999/06/30,B,119,119,115.5,116,9824
1999/06/30,C,82.5,82.5,80,80.5,46325
1999/07/02,A,39.3,39.6,38.2,38.8,40296
1999/07/02,B,116,118,115,116,9309
1999/07/02,C,80.5,84,80,82,76562
1999/07/03,A,39,40,38.8,38.8,24949
1999/07/03,B,116.5,120,116,117,14387
1999/07/03,C,82.5,85,82,82.5,63157
1999/07/05,A,39,39.6,38.8,38.8,17126
1999/07/05,B,117,118,116.5,117,7764
1999/07/05,C,83.5,84,82,82,27157
1999/07/06,A,38.8,39,37.7,37.8,27357
1999/07/06,B,117,117.5,115,115,6594
1999/07/06,C,82,82.5,80,80,32865
1999/07/07,A,38,38.6,37,38.3,22136
1999/07/07,B,115.5,116,115,115,5015
1999/07/07,C,80,80.5,78.5,79.5,24928
1999/07/08,A,38.9,39.4,38.7,38.9,19670
1999/07/08,B,116,118,115.5,116,6875
1999/07/08,C,80,82,79.5,81.5,31051
1999/07/09,A,38.5,38.9,38,38.1,13991
1999/07/09,B,117,118,116.5,117.5,8255
1999/07/09,C,82,82.5,80,80,22021
1999/07/12,A,38.2,38.3,37,37,17367
1999/07/12,B,118,118,115.5,115.5,6196
1999/07/12,C,80,81,79.5,80,22339
1999/07/13,A,36.5,36.5,34.6,35.6,35438
1999/07/13,B,115,115,113,113,10452
1999/07/13,C,80,80.5,78,78,48576
1999/07/14,A,30.8,32.4,30.5,30.7,62515
1999/07/14,B,112.5,114,108,108,17954
1999/07/14,C,77,78.5,73,74,67587
1999/07/15,A,31.9,31.9,31.1,31.8,33017
1999/07/15,B,96,98,95.5,98,13905
1999/07/15,C,74,75,72,74,40416
1999/07/16,A,31.8,31.8,29.6,29.6,27092
1999/07/16,B,98,98.5,91.5,91.5,18891
1999/07/16,C,75,75.5,69,69,39494
1999/07/17,A,27.6,29,27.6,28.4,33661
1999/07/17,B,88,91.5,88,91,13819
1999/07/17,C,64.5,68.5,64.5,66.5,51496
1999/07/19,A,28.5,29,27.7,28.7,23449
1999/07/19,B,91,93,90,91.5,8614
1999/07/19,C,67,69,66,68.5,37470
1999/07/20,A,30,30.7,29.5,30.7,24443
1999/07/20,B,93,96.5,92,95.5,10948
1999/07/20,C,71.5,73,71,73,27865
1999/07/21,A,30.1,30.8,29.5,30.3,17972
1999/07/21,B,94,94.5,93,93.5,6965
1999/07/21,C,72.5,76,71.5,75,43909
1999/07/22,A,30,30.5,29.5,29.5,15230
1999/07/22,B,93,94,92,92.5,4191
1999/07/22,C,75,75,73,73,26593
1999/07/23,A,29.5,30.4,29.5,30.2,14127
1999/07/23,B,92,93,91.5,93,3164
1999/07/23,C,72,73,72,72.5,21636
1999/07/26,A,29.9,30.4,29.5,29.6,9817
1999/07/26,B,92.5,93,91,91,3594
1999/07/26,C,73,73,70,70.5,31963
1999/07/27,A,29,29.4,28.5,28.5,15639
1999/07/27,B,91,91.5,90,90.5,6381
1999/07/27,C,70,70,67,67.5,62890
1999/07/28,A,29,29.1,28.4,28.4,13012
1999/07/28,B,91,92.5,91,91,4332
1999/07/28,C,53.5,55,53.5,54,47536
1999/07/29,A,28,28.8,27.8,27.8,12653
1999/07/29,B,91,92,90,90.5,2946
1999/07/29,C,54,54.5,53,53,26875
1999/07/30,A,27,29.3,27,28.9,14580
1999/07/30,B,90,92,89,91,3910
1999/07/30,C,50.5,53,50.5,52.5,13400
1999/07/31,A,28.9,29.2,28,28.2,12177
1999/07/31,B,92,92,90.5,90.5,2532
1999/07/31,C,52.5,53.5,52,52,14401
1999/08/02,A,28.2,28.6,27.2,27.2,7570
1999/08/02,B,90.5,91,90,90,2847
1999/08/02,C,52,52.5,50.5,50.5,12464
1999/08/03,A,27,27.2,26,26.1,12706
1999/08/03,B,89.5,91,88,89.5,4976
1999/08/03,C,50,50.5,48.9,50,22983
1999/08/04,A,26.6,26.8,26,26,11172
1999/08/04,B,90,90.5,88,88,5051
1999/08/04,C,50,51,50,50,13404
1999/08/05,A,26,26.2,24.7,24.7,15800
1999/08/05,B,87,87.5,85,85,8463
1999/08/05,C,50,50,49,49,16254
1999/08/06,A,25.3,25.3,23,23.3,17057
1999/08/06,B,86,87,83,83,10851
1999/08/06,C,49,49.6,48,48,17953
1999/08/07,A,23.3,24,22,23.8,19969
1999/08/07,B,83,85,82,85,6334
1999/08/07,C,48,50.5,48,50.5,23272
1999/08/09,A,23.9,23.9,23.4,23.8,7980
1999/08/09,B,86,86,83.5,83.5,4313
1999/08/09,C,50.5,51,50,50,11806
1999/08/10,A,23.9,25.4,23.8,25.4,25599
1999/08/10,B,83.5,85,83,85,8970
1999/08/10,C,50,52.5,50,52.5,28002
1999/08/11,A,25.5,26.1,25.1,25.8,26309
1999/08/11,B,84.5,84.5,83,83,4750
1999/08/11,C,52,52,50.5,50.5,16975
1999/08/12,A,26,27.1,26,26.8,28615
1999/08/12,B,83.5,85,83.5,84.5,4458
1999/08/12,C,51.5,52,51,51,18460
1999/08/13,A,28.6,28.6,28,28.6,32751
1999/08/13,B,90,90,89,90,15704
1999/08/13,C,54.5,54.5,52.5,53.5,35688
1999/08/16,A,30.4,30.6,30,30.6,26604
1999/08/16,B,96,96,95,96,12768
1999/08/16,C,55,57,54.5,57,52802
1999/08/17,A,32.5,32.7,31.5,32.7,78486
1999/08/17,B,101,102,98,102,41989
1999/08/17,C,57.5,58,55.5,57,50961
1999/08/18,A,33.5,34,32.9,33,69095
1999/08/18,B,104,104,100,100,19841
1999/08/18,C,57.5,58,56,56,27990
1999/08/19,A,32.5,32.8,31.8,32.1,26714
1999/08/19,B,100,100,98,99,9267
1999/08/19,C,55.5,56,55,55,14605
1999/08/20,A,32.1,33.2,32.1,33.2,29549
1999/08/20,B,99,101.5,98.5,101,11791
1999/08/20,C,55,56.5,55,56,16711
1999/08/21,A,34,35,33.5,33.7,54954
1999/08/21,B,102,105,101,101,23795
1999/08/21,C,57,58.5,57,57,34628
1999/08/23,A,33.9,34,33.1,33.3,23181
1999/08/23,B,102,102,99,99,8117
1999/08/23,C,57,57.5,56,56,11706
1999/08/24,A,33.7,34.1,32,32,21424
1999/08/24,B,100,101,98,98,8157
1999/08/24,C,57,57.5,55,55,15310
1999/08/25,A,31.5,33,31.5,32.4,22326
1999/08/25,B,98,100,97,99,8612
1999/08/25,C,55,56,54.5,55.5,14627
1999/08/26,A,32.9,33.7,32.5,32.9,28917
1999/08/26,B,99,101.5,98,98,12277
1999/08/26,C,56,56.5,55,55.5,17593
1999/08/27,A,32.4,32.9,31.8,31.9,15697
1999/08/27,B,98,98.5,96,96.5,5603
1999/08/27,C,55.5,56,55,55,12392
1999/08/30,A,32,33,31.6,31.8,19404
1999/08/30,B,96.5,97.5,94.5,95,5989
1999/08/30,C,55,56,54.5,55.5,13378
1999/08/31,A,31.5,32.3,31.4,31.8,15988
1999/08/31,B,94.5,96,94,95.5,4947
1999/08/31,C,55,56,55,55.5,12960
1999/09/01,A,32.3,33,32,32.5,20010
1999/09/01,B,95.5,98,95.5,96,6925
1999/09/01,C,55.5,58,55.5,57.5,43534
1999/09/02,A,33,33.2,31.8,32,19495
1999/09/02,B,96.5,97.5,95.5,96,6064
1999/09/02,C,58.5,59,56.5,56.5,29255
1999/09/03,A,31.9,32,30.3,30.3,22588
1999/09/03,B,96,96,94,94,4618
1999/09/03,C,56,56.5,55.5,56,17292
1999/09/04,A,30.5,31,28.5,29.2,27957
1999/09/04,B,95,95,93,93,4514
1999/09/04,C,57,57.5,55.5,55.5,12635
1999/09/06,A,29.2,29.4,28.7,28.9,14326
1999/09/06,B,93,93,92,92.5,4885
1999/09/06,C,55.5,56,55,55.5,9249
1999/09/07,A,28.9,29.2,27.9,28.1,15602
1999/09/07,B,92.5,93,90,90.5,5646
1999/09/07,C,55.5,56,54,54.5,17224
1999/09/08,A,28,28.9,27.5,28,16358
1999/09/08,B,90.5,92,90,91,4869
1999/09/08,C,54,55,53.5,53.5,17873
1999/09/09,A,28.4,29.7,28,29.7,25242
1999/09/09,B,92,94,91,93.5,6810
1999/09/09,C,53.5,54.5,53,53.5,26926
1999/09/10,A,30.2,31.7,29.8,31.7,49489
1999/09/10,B,94,95,93.5,94,5608
1999/09/10,C,54,55,53.5,54,22808
1999/09/13,A,31.9,31.9,30.5,30.5,24567
1999/09/13,B,94,94.5,93,93.5,3812
1999/09/13,C,54.5,54.5,53.5,53.5,16407
1999/09/14,A,30.4,30.9,29.7,30.5,22439
1999/09/14,B,93,93.5,92,92,3095
1999/09/14,C,54,54.5,53.5,53.5,16253
1999/09/15,A,30.6,30.7,29.7,29.7,10848
1999/09/15,B,92,92.5,91,91,2703
1999/09/15,C,54,54.5,53.5,53.5,14318
1999/09/16,A,29.1,30.4,29.1,29.5,12457
1999/09/16,B,90,92,90,92,3595
1999/09/16,C,53.5,54,53,53.5,13029
1999/09/17,A,30.5,30.7,29.7,30,17230
1999/09/17,B,91.5,92,90,90,4278
1999/09/17,C,54,54,53,53,9349
