日期(0), 名稱(1), 開盤價(2), 高點(3), 低點(4), 收盤價(5), 成交量(6)
2001/05/25,A,24.5,24.7,24.1,24.2,4305
2001/05/25,B,43.6,43.8,42.1,42.1,10310
2001/05/25,C,28.3,28.3,27.5,27.6,10976
2001/05/28,A,24.2,24.2,23.7,23.7,5195
2001/05/28,B,41.6,42.1,41.2,41.3,5267
2001/05/28,C,27.2,27.5,27,27.1,7601
2001/05/29,A,23.7,24.1,22.9,22.9,13134
2001/05/29,B,41.3,42.5,40.5,40.5,12515
2001/05/29,C,27,27.7,27,27.1,7190
2001/05/30,A,22.8,23.2,22.7,22.8,8775
2001/05/30,B,40.4,41.1,39.9,40,16909
2001/05/30,C,27,27.3,26.6,26.6,8218
2001/05/31,A,22.8,24.3,22.8,23.7,14707
2001/05/31,B,40.1,41.2,40.1,40.4,9373
2001/05/31,C,26.6,27.5,26.6,26.8,11580
2001/06/01,A,24.2,24.4,23.8,24.2,10014
2001/06/01,B,40.5,41.7,39.6,41.4,16362
2001/06/01,C,27.1,27.3,26.7,27.3,11562
2001/06/04,A,24.7,25,24.5,24.8,15923
2001/06/04,B,41.1,41.3,40.5,40.7,5682
2001/06/04,C,27.4,27.6,27,27.1,8647
2001/06/05,A,25,25.5,24.7,24.8,13963
2001/06/05,B,40.9,41.6,40.6,41.5,11356
2001/06/05,C,27.3,28.1,27.1,27.8,18687
2001/06/06,A,24.9,25.7,24.7,25.5,22482
2001/06/06,B,41.5,42.6,41,42.3,13194
2001/06/06,C,28.1,29.7,27.9,29.7,44813
2001/06/07,A,25,25.5,24.7,25.3,12086
2001/06/07,B,41,42.1,40.3,42.1,14423
2001/06/07,C,28.1,28.8,27.8,28.1,43467
2001/06/08,A,25,25.3,24,24.2,15965
2001/06/08,B,42,43.3,41.8,42.5,20469
2001/06/08,C,28.4,29.2,28.4,28.6,40550
2001/06/11,A,24,25,24,25,9974
2001/06/11,B,42.1,42.5,41.5,42.5,9970
2001/06/11,C,28.6,28.9,28.4,28.8,13767
2001/06/12,A,25.4,25.5,25.1,25.2,9756
2001/06/12,B,42.5,43,42.1,42.4,11667
2001/06/12,C,29.5,30.3,29.3,29.8,62450
2001/06/13,A,25.3,26,25.1,25.1,13779
2001/06/13,B,42.6,43.3,42.3,43,11578
2001/06/13,C,30,31.3,29.9,30.1,70866
2001/06/14,A,25.2,25.3,24.5,24.6,7723
2001/06/14,B,42.6,42.7,41.6,41.6,6515
2001/06/14,C,30.1,30.5,29.2,29.4,22463
2001/06/15,A,24.6,25.2,24.6,25.2,6323
2001/06/15,B,41.3,41.8,41,41.2,7597
2001/06/15,C,29.1,30,29.1,29.9,20741
2001/06/18,A,25,25.2,24.6,24.8,5232
2001/06/18,B,41.2,41.2,40.6,40.6,2883
2001/06/18,C,29.9,29.9,29.2,29.5,14627
2001/06/19,A,25.2,25.6,25.2,25.4,13717
2001/06/19,B,41.3,41.7,41,41.3,5625
2001/06/19,C,30.1,30.4,29.6,29.6,29801
2001/06/20,A,25.7,26,25.4,25.4,14482
2001/06/20,B,41.4,41.9,40.7,40.8,5692
2001/06/20,C,30.1,30.2,29.7,29.7,17819
2001/06/21,A,25.6,25.8,25.2,25.5,6300
2001/06/21,B,40.8,41.2,40.2,40.2,5710
2001/06/21,C,29.8,30.2,29.2,29.2,22587
2001/06/22,A,25.6,25.6,24.8,25,5413
2001/06/22,B,40.5,40.8,39,39.5,5547
2001/06/22,C,29,29.4,28.2,28.2,28352
2001/06/26,A,25,25.3,24.8,24.9,4687
2001/06/26,B,40,40,38.5,38.6,7056
2001/06/26,C,28.4,28.5,27.5,27.6,18680
2001/06/27,A,25.1,25.5,24.5,24.6,10067
2001/06/27,B,39.5,39.6,38.6,39.1,4689
2001/06/27,C,28,28.7,28,28.2,23565
2001/06/28,A,24.8,24.8,23.8,23.9,9723
2001/06/28,B,39.2,39.7,39,39.6,4981
2001/06/28,C,28.5,28.8,28,28,18710
2001/06/29,A,24.3,24.4,24,24.1,8362
2001/06/29,B,40.3,42,39.9,41.5,13760
2001/06/29,C,28.3,28.7,28.2,28.4,23303
2001/07/02,A,23.9,24.5,23.6,24.3,10181
2001/07/02,B,41.1,41.1,40,40.8,6947
2001/07/02,C,28.3,28.3,27.5,27.9,12793
2001/07/03,A,24.3,24.7,24.2,24.5,4878
2001/07/03,B,40.2,40.5,39.8,40.3,3129
2001/07/03,C,27.9,28,27.5,27.6,6537
2001/07/04,A,24.3,24.3,23.6,23.6,5404
2001/07/04,B,39.7,40,38.8,38.8,4598
2001/07/04,C,27.3,27.4,26.7,26.7,13791
2001/07/05,A,23.5,23.8,23,23,4185
2001/07/05,B,38.8,39.4,38.4,39,3124
2001/07/05,C,26.5,27.2,26.3,26.6,9494
2001/07/06,A,23,23.1,22.6,22.6,10177
2001/07/06,B,39,40.4,39,39.7,4435
2001/07/06,C,26.5,27.3,26.4,26.8,9756
2001/07/09,A,22.5,22.5,21.5,21.7,13768
2001/07/09,B,39.9,40,39.1,39.1,2281
2001/07/09,C,27,27,26.7,26.8,6916
2001/07/10,A,21.5,21.7,20.4,20.4,8707
2001/07/10,B,39.4,39.5,38.8,39,1953
2001/07/10,C,26.9,27.3,26.3,26.3,8559
2001/07/11,A,20,20.2,19.2,19.6,10931
2001/07/11,B,38.8,39,38.3,38.5,5012
2001/07/11,C,26.1,26.2,24.6,24.6,33713
2001/07/12,A,19.7,19.9,19.6,19.7,7178
2001/07/12,B,38.7,39,38.3,38.3,3379
2001/07/12,C,24.3,25,24.2,24.6,21313
2001/07/13,A,19.9,20.2,19.2,19.3,14676
2001/07/13,B,38.9,38.9,35.8,36,9746
2001/07/13,C,25,25.1,23,23.1,25900
2001/07/16,A,19.3,19.3,18,18,10865
2001/07/16,B,36.1,36.5,33.5,33.7,8467
2001/07/16,C,23,23.3,21.5,21.8,33014
2001/07/17,A,17.2,17.5,16.9,17.3,34307
2001/07/17,B,33.3,34.2,33.3,33.9,6339
2001/07/17,C,21.7,22.6,21.7,22.3,24139
2001/07/18,A,17.6,18.2,17.2,17.9,27239
2001/07/18,B,33.9,34,31.6,31.6,10814
2001/07/18,C,22.5,22.6,20.8,20.8,26587
2001/07/19,A,17.5,18.9,17.5,18.6,20123
2001/07/19,B,29.8,31.6,29.5,30.5,13660
2001/07/19,C,20,21.3,20,20.9,30110
2001/07/20,A,18.8,19.7,18.5,18.7,22370
2001/07/20,B,30,32.3,29.8,32,12812
2001/07/20,C,21.1,22,20.7,21.3,24110
2001/07/23,A,18.7,19,18.5,18.8,7117
2001/07/23,B,32,32.2,31.2,31.2,4251
2001/07/23,C,21.5,21.6,21,21.1,13857
2001/07/24,A,18.6,18.8,18,18,9229
2001/07/24,B,30.8,30.9,29.8,29.8,5834
2001/07/24,C,21,21,20.3,20.3,18609
2001/07/25,A,18,18.8,18,18.5,7653
2001/07/25,B,30,30.8,29.8,30.3,6876
2001/07/25,C,20.3,21,20.3,20.8,19279
2001/07/26,A,18.5,19.5,18.3,19.5,12141
2001/07/26,B,30.4,31.4,30.1,31.2,13868
2001/07/26,C,21.1,22.2,20.8,22.2,30257
2001/07/27,A,19.5,19.5,18.8,19,9941
2001/07/27,B,31,31.2,30.2,30.6,10747
2001/07/27,C,22.3,23.2,21.9,22.3,36682
2001/07/31,A,19.5,19.5,18.7,18.7,14954
2001/07/31,B,30,30.3,29.2,29.8,10050
2001/07/31,C,22,22.2,21.6,21.8,12100
2001/08/01,A,19,19.3,18.6,19,12168
2001/08/01,B,30,30.2,29,29.2,9587
2001/08/01,C,22,22.1,20.9,21,19089
2001/08/02,A,19,19.4,18.8,19.2,5093
2001/08/02,B,29.2,30.3,29.2,30.2,17085
2001/08/02,C,21.1,21.8,21.1,21.8,16029
2001/08/03,A,19.3,20.1,19.3,20.1,14692
2001/08/03,B,30.2,32.2,30.2,31.7,24945
2001/08/03,C,22,22.7,21.9,22.2,34222
2001/08/06,A,20.3,20.5,20,20,13880
2001/08/06,B,31.9,32.4,30.7,30.7,13099
2001/08/06,C,22.2,22.7,21.6,21.7,20357
2001/08/07,A,20,20,19.7,19.8,4547
2001/08/07,B,30.7,30.7,30,30.1,6611
2001/08/07,C,21.6,21.7,21.2,21.4,9267
2001/08/08,A,20.2,20.7,19.9,20.7,7543
2001/08/08,B,30.5,32.2,30.3,32.2,17109
2001/08/08,C,21.4,22.5,21.4,22.5,21826
2001/08/09,A,20.5,20.8,20.3,20.5,8318
2001/08/09,B,32.3,33.4,32.3,32.4,35422
2001/08/09,C,22.2,22.7,21.9,21.9,24875
2001/08/10,A,20.4,20.5,19.9,20.5,6705
2001/08/10,B,33.4,34.5,32.1,34.3,26167
2001/08/10,C,22.1,22.5,21.6,22.2,16872
2001/08/13,A,20.7,21.6,20.7,21.3,15965
2001/08/13,B,35.3,36.7,35,36.2,37480
2001/08/13,C,22.5,23.4,22.5,22.9,44353
2001/08/14,A,21.3,21.3,20.7,21.1,7505
2001/08/14,B,36.2,37.5,35.5,37.5,31131
2001/08/14,C,23.3,23.3,22.5,22.8,27436
2001/08/15,A,20.9,21.3,20.8,21.1,6861
2001/08/15,B,37.4,37.8,36.9,37.2,21713
2001/08/15,C,23,23.7,22.7,23.3,42918
2001/08/16,A,21.4,22.5,21.2,22.4,19117
2001/08/16,B,37.4,38.9,37.4,38.7,28805
2001/08/16,C,23.5,24.2,23.4,23.6,41312
2001/08/17,A,22.4,22.4,21.8,22.1,7896
2001/08/17,B,38.7,38.7,37.5,37.8,13783
2001/08/17,C,23.8,23.8,23.1,23.2,21955
2001/08/20,A,21.5,22,21.5,22,6082
2001/08/20,B,36.6,37.4,36.5,36.6,13839
2001/08/20,C,22.6,23,22.4,22.4,24934
2001/08/21,A,21.7,21.9,21.2,21.6,6295
2001/08/21,B,36.6,36.8,35.2,36.7,11985
2001/08/21,C,22.4,22.7,22.2,22.5,11052
2001/08/22,A,21.8,22.3,21.8,22,12430
2001/08/22,B,35.3,37.1,35.3,37,12038
2001/08/22,C,22.6,23.2,22.6,22.8,23662
2001/08/23,A,22.5,22.5,21.8,22.1,7387
2001/08/23,B,36.9,36.9,35.7,36.8,8287
2001/08/23,C,23,23.1,22.4,22.5,9792
2001/08/24,A,21.9,22.1,20.7,21.1,6905
2001/08/24,B,36.5,36.8,35.5,35.5,8576
2001/08/24,C,22.5,22.8,21.8,21.8,18816
2001/08/27,A,21.1,22,21,21.8,12521
2001/08/27,B,35.6,37.3,35.5,37.3,18653
2001/08/27,C,22.1,22.7,22,22.2,17650
2001/08/28,A,21.6,22,21.4,21.7,5415
2001/08/28,B,34.1,34.8,34,34.4,28939
2001/08/28,C,22.4,22.6,22.1,22.1,13223
2001/08/29,A,21.6,23.2,21.6,23.2,25802
2001/08/29,B,34.5,36.8,34.5,36.8,31170
2001/08/29,C,22.1,23.4,22.1,23.4,50366
2001/08/30,A,23,24.3,23,23.1,19850
2001/08/30,B,37.9,39.3,37.8,39.3,57827
2001/08/30,C,23.4,24.3,23.2,23.4,63161
2001/08/31,A,22.8,23.4,22.6,23.1,9069
2001/08/31,B,39.5,41.1,39.3,41.1,81840
2001/08/31,C,23.2,24.1,23,23.8,61357
2001/09/03,A,22.9,23.1,22.3,22.4,11129
2001/09/03,B,41,41.2,40.3,40.4,22087
2001/09/03,C,23.9,24.3,23.5,23.7,39144
2001/09/04,A,22.4,22.4,20.9,21,25189
2001/09/04,B,40,40.1,38.5,39.7,27815
2001/09/04,C,23.6,23.9,23.1,23.2,22132
2001/09/05,A,20.8,21.4,20.7,21.1,12975
2001/09/05,B,39.7,40.8,39.3,39.7,29867
2001/09/05,C,23.2,23.6,22.7,22.8,25156
2001/09/06,A,21.1,21.3,20.1,20.6,10806
2001/09/06,B,39.7,41,39.3,40.8,43774
2001/09/06,C,22.8,23,22.5,22.6,20572
2001/09/07,A,20.2,20.6,19.9,20.3,5799
2001/09/07,B,40.8,41.2,39.8,40.6,22045
2001/09/07,C,22.3,22.5,21.8,22,20647
2001/09/10,A,20.4,21.3,20.1,20.9,6166
2001/09/10,B,39.9,40.4,39,40.3,15077
2001/09/10,C,21.9,22.3,21.6,22.1,9665
2001/09/11,A,21.2,21.2,20.2,20.3,3553
2001/09/11,B,40.3,40.4,39.1,39.3,11412
2001/09/11,C,22.2,22.5,21.8,21.9,16549
2001/09/13,A,18.9,19.5,18.9,18.9,15682
2001/09/13,B,36.6,38.1,36.6,38.1,16748
2001/09/13,C,20.4,20.4,20.4,20.4,16496
2001/09/14,A,20.2,20.2,17.9,18.2,38951
2001/09/14,B,38.5,39,37.4,38.3,36049
2001/09/14,C,20.4,20.8,19,19.1,48345
2001/09/19,A,17.8,19.1,17.6,19,25659
2001/09/19,B,37,38.3,37,38.3,23399
2001/09/19,C,18.5,20.3,18.5,20.3,74255
2001/09/20,A,18.4,18.9,18.4,18.4,9463
2001/09/20,B,37.3,37.7,37,37,9525
2001/09/20,C,19.8,20.3,19.6,19.7,28069
2001/09/21,A,17.8,17.8,17.8,17.8,1570
